date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2023-01-20,-6.5,-12.15,-11.45,-16.4,,-24,89,83.9,83.5,78,-9.4,-14.4,-13.8,-18.2,24,16.88,17,10,,,102.24,102.05,102.06,101.89,95.89,95.7,95.72,95.54,24100,24100,24100,24100,3.7,3,2.9,2.1,29.4,0,0,0,0,0,,,23,09:04:00,17:32:00,8.47,9.07,17.53,1,1,-7,-5,-16,-13,,,,,,7,2.8,3.5,0,,,,
2023-01-19,-4.3,-6,-6.8,-9.3,,-16,97,93.6,93,89,-4.9,-6.9,-7.8,-10.6,22,12.62,12.5,3,,,102.12,101.68,101.74,101.36,95.82,95.42,95.47,95.12,24100,13150,12650,1200,2.8,2.4,2.4,2,24.8,0,0,0,0,0,,,22,09:05:00,17:30:00,8.42,9.08,17.5,,,-4,-4,-15,-13,,,,,,8,7.8,6,4,,,,
2023-01-18,-5.6,-7.21,-7.9,-10.2,,-16,95,93,92.5,90,-6.3,-8.2,-8.8,-11.4,16,11.5,11.5,7,,,101.63,101.52,101.5,101.37,95.32,95.24,95.22,95.13,24100,8266.7,13250,2400,2.8,2.6,2.5,2.1,25.9,0,0,0,0,0,,,23,09:06:00,17:28:00,8.37,9.1,17.47,,,-6,-6,-9,-9,,,,,,8,8,8,8,,,,
2023-01-17,-9,-10.63,-10.15,-11.3,,-19,91,89.8,90,89,-10.7,-12,-11.8,-12.8,20,16.25,15.5,11,,,101.7,101.57,101.56,101.41,95.38,95.27,95.26,95.14,24100,20091.7,14450,4800,2.4,2.2,2.2,2.1,28.1,0,0,0,0,0,,,23,09:07:00,17:27:00,8.33,9.12,17.45,,,-7,-7,-12,-9,,,,,,8,8,8,8,,,,
2023-01-16,-6.5,-7.56,-7.75,-9,,-16,93,92.7,92,91,-7.5,-8.6,-8.8,-10.2,19,11.12,10.5,2,,,101.41,101.26,101.23,101.05,95.14,95,94.97,94.81,24100,13920.8,12850,1600,2.7,2.3,2.4,2.1,25.8,0,0,0,0,0,,,23,09:08:00,17:25:00,8.28,9.13,17.42,,,-8,-8,-11,-11,,,,,,8,7.8,6,4,,,,
2023-01-15,-7.7,-8.55,-8.65,-9.6,,-16,93,91.7,92,91,-8.7,-9.7,-9.7,-10.7,14,7.5,8,2,,,101,100.66,100.69,100.38,94.76,94.42,94.47,94.17,19300,8637.5,9850,400,2.6,2.4,2.4,2.2,26.6,0,0,0,0,0,,,22,09:09:00,17:23:00,8.23,9.15,17.38,,,-9,-8,-13,-13,,,,,,8,7.5,6,4,,,,
2023-01-14,-8,-9.93,-11.3,-14.6,,-22,92,90.5,89.5,87,-9.1,-11.2,-11.9,-14.8,26,16.62,16.5,7,34,7,100.91,100.49,100.58,100.24,94.6,94.24,94.31,94.02,24100,9416.7,12250,400,2.9,2.6,2.5,2.1,29.3,0,0,0,0,0.1,,,23,09:10:00,17:22:00,8.2,9.17,17.37,,,-8,-6,-11,-11,,,,,,8,6.5,5,2,,,,
2023-01-13,-12,-15.09,-15,-18,,-24,88,85.4,85.5,83,-14.1,-17,-16.9,-19.6,21,9.04,12,3,,,101.9,101.43,101.44,100.97,95.54,95.07,95.1,94.65,24100,24100,24100,24100,4.6,3.3,3.5,2.4,33,0,0,0,0,0,,,23,09:10:00,17:20:00,8.17,9.17,17.33,1,1,-9,-9,-16,-8,,,,,,7,4,3.5,0,,,,
2023-01-12,-9.8,-12.51,-13.25,-16.7,,-23,90,87.7,87.5,85,-11.1,-14.1,-14.4,-17.8,18,11.83,13,8,,,102.85,102.54,102.42,102,96.46,96.15,96.04,95.63,24100,14266.7,13650,3200,3.3,2.5,2.8,2.2,31.2,0,0,0,0,0,,,22,09:11:00,17:19:00,8.13,9.18,17.32,,,-7,-7,-17,-13,,,,,,8,6,4,0,,,,
2023-01-11,-8.4,-10.8,-10.19,-12,,-18,91,89.5,90,89,-10.2,-12.2,-11.7,-13.2,14,6.83,7.5,1,,,102.83,102.29,102.23,101.62,96.44,95.93,95.87,95.3,24100,6716.7,12150,200,3.6,3.1,3,2.4,28.2,0,0,0,0,0,,,21,09:12:00,17:17:00,8.08,9.2,17.28,,,-9,-9,-16,-14,,,,,,8,7.3,5,2,,,,
2023-01-10,-10,-12.06,-14.25,-18.5,,-22,90,88.4,86.5,83,-11.6,-13.6,-16.1,-20.5,14,7.54,7.5,1,,,101.58,101.28,101.31,101.03,95.27,94.95,94.98,94.7,24100,5025,12150,200,4,3,3.2,2.5,32.2,0,0,0,0,0.1,,,22,09:13:00,17:16:00,8.05,9.22,17.27,,,-9,-9,-15,-15,,,,,,8,8,8,8,,,,
